idx,Query,Restaurant Name,Address,URL,Restaurant URL,Cuisines,Number of Reviews,Excellent reviews,Very good reviews,Average reviews,Poor reviews,Terrible reviews
63,Florent,Le Grill,"route Neuve Port de Plaisance, 20217 Saint Florent, Corsica France",https://www.tripadvisor.com/Restaurant_Review-g666541-d3256186-Reviews-Le_Grill-Saint_Florent_Haute_Corse_Corsica.html#REVIEWS,http://www.facebook.com/pages/Restaurant%20Le%20Grill%20Saint%20Florent/696351780722110/,,1960,42,31,8,8,4
50,Cosette,T-Michaels Steak and Lobster,"4050 Gulf Shore Blvd N The Village on Venetian Bay, Naples, FL 34103-2212",https://www.tripadvisor.com/Restaurant_Review-g34467-d393088-Reviews-T_Michaels_Steak_and_Lobster-Naples_Florida.html#REVIEWS,http://t-michaels.com/,"American, Steakhouse, Bar, Seafood",1348,1031,149,74,41,35
78,JoJo,JoJo,"160 E 64th St between Lexington and 3rd Ave., New York City, NY 10065-7412",https://www.tripadvisor.com/Restaurant_Review-g60763-d482185-Reviews-JoJo-New_York_City_New_York.html#REVIEWS,http://www.jojorestaurantnyc.com/,,125,61,29,10,13,2
64,Frère Jacques,Cafe Normandie,"185 Main St, Annapolis, MD 21401-2006",https://www.tripadvisor.com/Restaurant_Review-g29494-d518152-Reviews-Cafe_Normandie-Annapolis_Maryland.html#REVIEWS,http://www.cafenormandie.com/,,538,242,156,71,38,25
51,Country Café,Mel's Country Cafe,"24814 Stanolind Rd, Tomball, TX 77375-3170",https://www.tripadvisor.com/Restaurant_Review-g56780-d470944-Reviews-Mel_s_Country_Cafe-Tomball_Texas.html#REVIEWS,http://www.melscountrycafe.com/,,469,307,114,28,8,8
65,Félix,Felix,"Salisbury Road 28/F, The Peninsula Hong Kong, Kowloon, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d940224-Reviews-Felix-Hong_Kong.html#REVIEWS,http://www.peninsula.com/felix,,1102,351,219,121,49,29
52,Danal,Wasabi Sushi and Bento,"43 King Street 2 min from Hammersmith Station, London W6 9HW England",https://www.tripadvisor.com/Restaurant_Review-g186338-d3339877-Reviews-Wasabi_Sushi_and_Bento-London_England.html#REVIEWS,http://www.wasabi.uk.com/branches/1300,,399,78,66,23,17,44
80,Jules,Chez Jules,"71 Northgate Street, Chester CH1 2HQ England",https://www.tripadvisor.com/Restaurant_Review-g186233-d732106-Reviews-Chez_Jules-Chester_Cheshire_England.html#REVIEWS,http://www.chezjules.com/,,2326,1446,526,177,92,60
66,Fleur de Sel,Fleur de Sel,"85 Montee de la Bourgade, 06800 Cagnes-sur-Mer France",https://www.tripadvisor.com/Restaurant_Review-g187220-d2314302-Reviews-Fleur_de_Sel-Cagnes_sur_Mer_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html#REVIEWS,http://www.restaurant-fleurdesel.com/fr/bienvenue,"French, European, Healthy",638,206,17,5,4,1
53,Daniel,Daniel,"60 East 65th Street, New York City, NY 10065-7056",https://www.tripadvisor.com/Restaurant_Review-g60763-d457808-Reviews-Daniel-New_York_City_New_York.html#REVIEWS,http://www.danielnyc.com/,French,3392,2129,310,143,57,39
67,Gascogne,Au Cadet de Gascogne,"4 Place du Tertre, 75018 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d1879548-Reviews-Au_Cadet_de_Gascogne-Paris_Ile_de_France.html#REVIEWS,http://cadet-de-gascogne.com/,,1091,80,96,59,48,54
81,Kitchen Club,Mumbai Kitchen,"Jalan Pantai Berawa Finns Beach Club, Canggu 80361 Indonesia",https://www.tripadvisor.com/Restaurant_Review-g311298-d17643064-Reviews-Mumbai_Kitchen-Canggu_North_Kuta_Bali.html#REVIEWS,http://www.mumbaikitchenbali.com/,,661,511,5,2,1,0
54,Darna,Comptoir Darna Marrakech,"Avenue Echouhada Hivernage, Marrakech 40000 Morocco",https://www.tripadvisor.com/Restaurant_Review-g293734-d816225-Reviews-Comptoir_Darna_Marrakech-Marrakech_Marrakech_Safi.html#REVIEWS,http://www.comptoirmarrakech.com/,"French, Moroccan, Mediterranean, European, International",7660,2230,733,177,41,33
82,Komegashi,Komegashi Too,"99 Town Square Pl, Jersey City, NJ 07310-2758",https://www.tripadvisor.com/Restaurant_Review-g46531-d3521046-Reviews-Komegashi_Too-Jersey_City_New_Jersey.html#REVIEWS,http://www.komegashi.com/,,96,48,22,11,1,3
55,db Bistro Moderne,DB Bistro & Oyster Bar,"2 Bayfront Avenue B1-48, Galleria Level The Shoppes at Marina Bay Sands, Singapore 018958 Singapore",https://www.tripadvisor.com/Restaurant_Review-g294265-d1964876-Reviews-DB_Bistro_Oyster_Bar-Singapore.html#REVIEWS,http://www.dbbistro.com/singapore/,,1693,828,394,165,63,48
69,Geisha,Funky Geisha Cancun,"Blvd. Kukulcan Zona Hotelera Km 15, Cancun 77500 Mexico",https://www.tripadvisor.com/Restaurant_Review-g150807-d20378284-Reviews-Funky_Geisha_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS,http://funkygeisha.com.mx/en/sushi-cancun,"Sushi, Asian, Healthy, Japanese, Japanese Fusion",1547,735,25,11,5,8
83,L'Absinthe,L'Absinthe,"24 Place du Marche Saint Honore, 75001 Paris France",https://www.tripadvisor.com/Restaurant_Review-g187147-d718101-Reviews-L_Absinthe-Paris_Ile_de_France.html#REVIEWS,http://www.restaurantabsinthe.com/,"French, Contemporary, European",900,194,136,41,16,15
