name,number_of_reviews,food,service,price,decor,excellent,very_good,average,poor,terrible,sentiment_polarity_x,sentiment_subjectivity_x,InMichelin,Food,Decor,Service,Price,Number of Reviews,Excellent reviews,Very good reviews,Average reviews,Poor reviews,Terrible reviews,sentiment_polarity_y,sentiment_subjectivity_y
King's Joy,1389.0,45.0,45.0,40.0,50.0,206.0,34.0,18.0,5.0,5.0,,,,,,,,,,,,,,,
Sir Elly's Restaurant,80.0,45.0,45.0,40.0,,42.0,10.0,5.0,3.0,1.0,0.4119358380083473,0.5911604807790298,,,,,,,,,,,,,
Sir Elly's Restaurant,80.0,45.0,45.0,40.0,,42.0,10.0,5.0,3.0,1.0,0.4119358380083473,0.5911604807790298,,,,,,,,,,,,,
Mr & Mrs Bund - Seafood & Steak House by Paul Pairet,2002.0,45.0,45.0,40.0,45.0,870.0,360.0,149.0,59.0,36.0,0.3501835525585525,0.6221595483858415,,,,,,,,,,,,,
Martin Berasategui,1922.0,50.0,50.0,45.0,45.0,622.0,49.0,13.0,5.0,5.0,,,,,,,,,,,,,,,
Martin Berasategui,1922.0,50.0,50.0,45.0,45.0,622.0,49.0,13.0,5.0,5.0,,,,,,,,,,,,,,,
ABaC,2308.0,45.0,45.0,40.0,45.0,410.0,101.0,69.0,48.0,46.0,0.2429291913224269,0.586774978015117,,,,,,,,,,,,,
Disfrutar,2002.0,50.0,50.0,45.0,45.0,485.0,50.0,17.0,3.0,4.0,0.3279633012327015,0.5389994097776284,,,,,,,,,,,,,
Akelarre,1853.0,45.0,45.0,40.0,45.0,491.0,108.0,80.0,52.0,47.0,0.27792396720067,0.6100730438588964,,,,,,,,,,,,,
Atrio Restaurante,1519.0,50.0,50.0,40.0,45.0,164.0,14.0,4.0,1.0,1.0,0.3985814921689497,0.6120696451545636,,,,,,,,,,,,,
Restaurante Vuelve Carolina,1664.0,40.0,35.0,35.0,35.0,94.0,42.0,27.0,16.0,20.0,0.2294507522400565,0.5938541265083784,,,,,,,,,,,,,
La Taberna del Chef Del Mar,998.0,40.0,40.0,35.0,35.0,14.0,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
DiverXO,2160.0,45.0,45.0,40.0,45.0,155.0,20.0,11.0,4.0,10.0,0.3133183723986374,0.590885554785857,,,,,,,,,,,,,
DiverXO,2160.0,45.0,45.0,40.0,45.0,155.0,20.0,11.0,4.0,10.0,0.3133183723986374,0.590885554785857,,,,,,,,,,,,,
Arzak,3293.0,45.0,45.0,40.0,45.0,1146.0,192.0,114.0,45.0,17.0,0.4518574102069283,0.6266104576428846,,,,,,,,,,,,,
Arzak,3293.0,45.0,45.0,40.0,45.0,1146.0,192.0,114.0,45.0,17.0,0.4518574102069283,0.6266104576428846,,,,,,,,,,,,,
El Celler de Can Roca,3220.0,50.0,50.0,45.0,45.0,771.0,50.0,26.0,14.0,9.0,0.3809117376387542,0.614202909847897,,,,,,,,,,,,,
Cenador de Amós,559.0,45.0,45.0,40.0,45.0,20.0,1.0,1.0,0.0,0.0,0.2993901797731431,0.5799541102943353,,,,,,,,,,,,,
L'Atelier de Joel Robuchon,840.0,45.0,45.0,40.0,45.0,377.0,145.0,55.0,25.0,16.0,0.2394957286251804,0.4913335302644803,,,,,,,,,,,,,
L'Atelier de Joel Robuchon,840.0,45.0,45.0,40.0,45.0,377.0,145.0,55.0,25.0,16.0,0.2394957286251804,0.4913335302644803,,,,,,,,,,,,,
Kadowaki,30.0,45.0,40.0,30.0,,11.0,5.0,2.0,1.0,1.0,0.1645369158619158,0.536403643023643,,,,,,,,,,,,,
Ishikawa,131.0,50.0,50.0,45.0,45.0,65.0,6.0,2.0,3.0,1.0,0.2703411424982289,0.5636664978618485,,,,,,,,,,,,,
Sazenka,12.0,50.0,45.0,45.0,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
